Дата,Прогноз отборов
2021-11-01,15.46
2021-11-02,15.93
2021-11-03,16.41
2021-11-04,16.9
2021-11-05,17.0
2021-11-06,17.0
2021-11-07,17.0
2021-11-08,17.0
2021-11-09,17.0
2021-11-10,17.0
2021-11-11,17.0
2021-11-12,17.0
2021-11-13,17.0
2021-11-14,17.0
2021-11-15,17.0
2021-11-16,17.0
2021-11-17,17.0
2021-11-18,17.0
2021-11-19,17.0
2021-11-20,17.0
2021-11-21,17.0
2021-11-22,17.0
2021-11-23,17.0
2021-11-24,17.0
2021-11-25,17.0
2021-11-26,17.0
2021-11-27,17.0
2021-11-28,17.0
2021-11-29,17.0
2021-11-30,17.0
